title,tahun,url,abstrak,jenis publikasi
Sistem Pakan Ayam Otomatis Berbasis Internet of Things (IoT),2025,https://animator.uho.ac.id/index.php/journal/article/view/1281,"Ayam merupakan salah satu kebutuhan pangan paling besar di indonesia, apa lagi ayam memiliki protein yang tinggi menjadikan pilihan makanan sehari-hari yang populer dan peternakan ayam relatif lebih ekonomis pemeliharaan nya dibandingkan dengan hewan ternak lainnya. Untuk itu, penelitian ini bertujuan untuk mengimplementasikan dan mengembangkan sistem pemberian pakan ayam otomatis yang memanfaatkan teknologi Internet of Things (IoT). Sistem pemberian pakan ayam otomatis ini berguna untuk mempermudah mengukur ketinggian pakan dan minuman kemudian dapat mendeteksi suhu lingkungan ayam dengan mudah. Hasil pengujian menggunakan 2 sensor, dimana pengujian sensor ultrasonik mengukur tinggi umpan dengan perbandingan menggunakan pengukuran manual menggunakan meteran, keduanya 100% akurat, kemudian untuk pengujian suhu menggunakan sensor DHT11 dengan perbandingan menggunakan pengecekan manual menggunakan thermometer ruangan memiliki selisih 1℃. Kemudian real time clock (RTC) yang akan mengoperasikan alat secara real time dan dapat dipantau langsung menggunakan aplikasi blynk.",jurnal
Sistem Kontrol Penyiraman Air Dan Nutrisi Tanaman Cabai Berbasis Internet Of Things (IoT) Menggunakan Decision Tree C5,2025,https://semantik.uho.ac.id/index.php/journal/article/view/268,"Indonesia sebagai negara agraris memiliki banyak lahan pertanian subur. Namun, teknologi pertanian masih perlu dikembangkan untuk meningkatkan produktivitas. Salah satu masalah yang sering dihadapi petani cabai adalah pada proses kurangnya intensitas penyiraman yang berdampak buruk pada pertumbuhan dan hasil panen. Cabai (Capsicum spp.) adalah tanaman penting yang digunakan dalam berbagai masakan dan memiliki banyak manfaat kesehatan. Untuk mengatasi masalah ini, diperlukan sistem otomatis yang dapat mengatur penyiraman tanaman secara efisien, terutama di lahan yang sempit seperti perkotaan. Penelitian ini bertujuan untuk merancang dan menguji sistem kontrol penyiraman air otomatis pada tanaman cabai, yang berbasis Internet of Things (IoT) dan menggunakan Decision Tree C5 sebagai metode utama pengambilan keputusan. Sistem ini dirancang agar penyiraman tanaman berlangsung secara optimal dengan memantau kondisi lingkungan seperti suhu, kelembaban tanah, dan pH tanah. Rencana pengujian sistem ini mencakup beberapa tahap untuk memastikan fungsionalitas dan keakuratan sistem kontrol penyiraman otomatis berbasis Internet of Things (IoT) dengan Decision Tree C5. Selain itu juga dilakukan pengujian black box untuk mengetahui fungsionalitas sistem yang akan dibangun.",jurnal
Analisis Perbandingan Metode Fisher Yates Shuffle dan Linear Congruent Method Pada Aplikasi Pembelajaran Rambu Rambu Lalu Lintas Berbasis Android,2025,https://animator.uho.ac.id/index.php/journal/article/view/1248,"Rambu lalu lintas berperan penting dalam menjaga ketertiban dan keselamatan di jalan raya. Namun, anak-anak sering kali mengalami kesulitan dalam memahami makna rambu lalu lintas karena keterbatasan kognitif mereka. Oleh karena itu, diperlukan media edukasi yang dapat membantu mengenal rambu sejak dini. Salah satu solusi yang ditawarkan adalah pengembangan aplikasi pembelajaran yang mengenalkan berbagai jenis rambu dengan menyenangkan. Dalam aplikasi pembelajaran metode pengacakan sangat penting untuk mencegah kemunculan soal yang berulang. Ada beberapa algoritma pengacakan seperti Fisher-Yates Shuffle baik untuk mengacak angka, dengan waktu yang cepat dan Linear Congruent Method algoritma yang paling sering digunakan dalam proses pengacakan. Untuk menentukan algoritma yang paling efektif dan efisien di antara keduanya, diperlukan analisis perbandingan sehingga dapat diketahui mana yang lebih unggul dalam pengacakan. Dari data uji yang dilakukan didapatkan hasil nilai akurasi Algoritma Linear Congruent Method 100% dan Fisher-Yates Shuffle 94, 67%. Linear Congruent Method memiliki render time 0.00186 detik sedangkan Fisher-Yates Shuffle 0.05811 detik. Sehingga, Linear Congruent Method lebih cepat dan akurat dalam melakukan pengacakan. aplikasi game edukasi ini memperoleh hasil User Acceptance Testing (UAT) sebesar 96, 85%.",jurnal
Energi Terbarukan untuk Pertanian Modern: Studi Kasus pada Budidaya Hidroponik UMKM Rumah Bali Hidroponik: Renewable Energy for Modern Agriculture: A Case Study on Hydroponic …,2025,https://journal.umpr.ac.id/index.php/pengabdianmu/article/view/8824,"Energi terbarukan, khususnya Pembangkit Listrik Tenaga Surya (PLTS), memiliki potensi besar untuk mendukung keberlanjutan dan efisiensi dalam pertanian modern, termasuk pada usaha kecil dan menengah (UKM) yang menerapkan teknologi hidroponik. Kegiatan Pemberdayaan Kemitraan Masyarakat (PKM) ini bertujuan untuk mengimplementasikan sistem PLTS guna meningkatkan produktivitas dan keberlanjutan budidaya hidroponik di UMKM Rumah Bali Hidroponik. Metode yang digunakan dalam kegiatan ini meliputi instalasi sistem PLTS untuk memenuhi kebutuhan energi pada proses budidaya hidroponik, serta pemberian pelatihan teknis kepada mitra UMKM dalam pengelolaan dan pemanfaatan energi surya. Evaluasi dilakukan untuk mengukur efisiensi energi, dampak terhadap produktivitas tanaman, serta kontribusi terhadap pengurangan biaya operasional. Hasil implementasi menunjukkan bahwa penggunaan PLTS berhasil mengurangi ketergantungan pada sumber energi konvensional, menghemat biaya operasional hingga 15%, dan meningkatkan produktivitas tanaman hidroponik sebesar 18%. Pelatihan yang diberikan juga meningkatkan pemahaman peserta terhadap teknologi energi surya, dengan peningkatan pemahaman teknis mencapai 90%. Selain itu, dampak positif terhadap pengurangan emisi karbon turut mendukung pertanian yang ramah lingkungan. Kesimpulannya, penerapan PLTS dalam budidaya hidroponik pada UMKM Rumah Bali Hidroponik terbukti efektif dalam meningkatkan efisiensi energi, produktivitas, dan keberlanjutan usaha. Program ini tidak hanya memberikan manfaat ekonomi, tetapi …",jurnal
Optimisasi Sistem Monitoring Kebocoran Gas LPG Berbasis Internet Of Things Dengan Fuzzy Inference System,2025,https://animator.uho.ac.id/index.php/journal/article/view/1243,Penelitian ini dibuat dengan tujuan untuk merancang dan membangun sistem monitoring kebocoran gas berbasis Internet of Things. Sistem ini dibuat dengan menerapkan Metode fuzzy tahani yang menggunakan dua parameter utama sistem yaitu nilai intensitas suhu dan kadar gas.,jurnal
Digitalization Assistance for Villages Through the Preparation and Utilization of Website-Based Purirano Village Profiles,2025,https://scholar.google.com/scholar?cluster=3444121167630884625&hl=en&oi=scholarr,"Purirano Village is an administrative area located in Kendari District, Kendari City, Southeast Sulawesi. Purirano is a division of Mata that has the status of a Village to become a Village. The digitalization assistance activity for the Village in Purirano Village was carried out to assist in compiling and utilizing the Village profile based on the Website as a media for information and public services. The need for assistance in building a Website is an important factor so that the Village has a functional website and can manage it independently and sustainably. One of the objectives of this assistance is to design a Website interface that is in accordance with the community's needs so that the appearance and navigation of the website are more user-friendly and easy to access. The methods used include surveys and meetings, data collection, system design, socialization, training, and participation and evaluation. The result of …",jurnal
SISTEM INFORMASI PELAYANAN PROGRAM KHUSUS MENGGUNAKAN METODE WATERFALL,2025,https://scholar.google.com/scholar?cluster=5406290925809868939&hl=en&oi=scholarr,"Sekolah Luar Biasa (SLB) Aksara Centre didirikan untuk membantu anak-anak berkebutuhan khusus di Kota Kendari, Sulawesi Tenggara, mendapatkan pendidikan yang sesuai dengan kebutuhan mereka. Seiring kemajuan teknologi saat ini, sistem informasi yang kuat diperlukan untuk mendukung pelayanan program khusus di SLB Aksara Centre. Tujuan dari penelitian ini adalah untuk merancang dan mengembangkan sistem informasi berbasis web yang menggunakan PHP untuk meningkatkan kinerja layanan program khusus dan menilai gangguan perilaku pada anak-anak berkebutuhan khusus. Wawancara, observasi, dan pengembangan perangkat lunak. Penelitian ini menghasilkan sistem informasi yang memudahkan administrasi, observasi awal, dan evaluasi menggunakan Childhood Autism Rating Scale (CARS). Hasilnya menunjukkan bahwa sistem informasi ini dapat meningkatkan proses …",jurnal
Sistem Pengusir Hama Serangga Otomatis Untuk Pertanian Cerdas Berbasis Fuzzy Logic Mamdani: Studi Kasus: Tanaman Sayur Sawi,2024,https://animator.uho.ac.id/index.php/journal/article/view/1236,"Masalah yang sering dialami oleh para petani pada waktu menanam tanaman sayur Sawi yaitu kurangnya berkembang dengan baik dalam memanennya, karena terserang hama serangga dengan merusak bagian daun tanaman. Salah satunya adalah serangga belalang hijau dan serangga hama kumbang, umumnya masyarakat dalam mengatasi serangan hama serangga masih menggunakan cara lama yaitu dengan cara menggunakan perangkap konvensional dan menyiram lahan pertanian menggunakan solar maupun pestisida yang tentunya menimbulkan efek samping terhadap kerusakan lingkungan dan ekosistem sekitarnya. Penelitian ini bertujuan untuk membuat sistem pengsuir hama serangga otomatis yang dapat menghemat waktu dan tenaga para petani dan membuat pestisida sendiri dari sampah organik, seperti tanaman daun papaya dan daun bawang yang bisa dikelolah menjadi pupuk organik dengan cara di fermentasi. Berdasarkan hasil pengujian menunjukkan bahwa penyusun ini menghasilkan alat sistem pengusir hama serangga otomatis yang beroperasi secara real-time dengan tingkat ketelitian algoritma dan sensor yang tinggi. Algoritma Fuzzy Logic memiliki ketelitian sebesar 92%. Sensor PIR dan sensor ultrasonik, masing-masing memiliki ketelitian sebesar 90, 7% dan 90, 6%. Dan untuk hasil dari skenario pengujian yang diuji coba sebanyak 30 data memliki tingkat keberhasilan sebesar 73%.",jurnal
Rumah Pengering Ikan Bertenaga Surya untuk Peningkatan Kualitas Ikan Asin Kering yang Berkelanjutan,2024,https://mail.almufi.com/index.php/AJPKM/article/view/378,"Pengawetan ikan melalui pengeringan dan penggaraman tradisional sering menghadapi tantangan seperti kualitas yang tidak konsisten, kontaminasi, dan ketergantungan pada bahan bakar fosil. Untuk mengatasi hal ini, program pemberdayaan desa binaan mengembangkan rumah pengering ikan bertenaga surya sebagai solusi berkelanjutan. Tahapan pelaksanaan meliputi penilaian kebutuhan komunitas, desain prototipe, pelatihan pengolah ikan, implementasi, dan evaluasi dampak. Hasilnya menunjukkan kualitas sensorik dan nutrisi ikan asin kering yang lebih baik, seragam, dan bebas kontaminasi. Sistem ini mengurangi biaya operasional dan ketergantungan pada bahan bakar fosil. Pemberdayaan kelompok menjadi fokus utama. Melalui pelatihan, pengolah ikan memperoleh keterampilan untuk mengoperasikan dan memelihara rumah pengering, meningkatkan pendapatan dan kesejahteraan ekonomi. Program ini juga mendorong kolaborasi dan kepemilikan komunitas, memastikan keberlanjutan. Meskipun menghadapi tantangan seperti resistensi awal, program ini memberikan pelajaran berharga tentang keterlibatan dan adaptabilitas. Keberhasilan program ini sejalan dengan Tujuan Pembangunan Berkelanjutan (SDGs) dan berfungsi sebagai model inovatif untuk pembangunan berkelanjutan.",jurnal
RANCANG BANGUN APLIKASI KLASIFIKASI JUDUL SKRIPSI MENGGUNAKAN METODE RATIONAL UNIFIED PROCESS (RUP),2024,https://www.ejournal.itn.ac.id/jati/article/view/11985,"Tugas Akhir (Skripsi) merupakan komponen penting dalam kurikulum pendidikan tinggi di Indonesia yang menjadi syarat utama untuk memperoleh gelar sarjana. Proses pemilihan judul skripsi sering menjadi tantangan bagi mahasiswa, yang sering kali kesulitan menentukan judul yang sesuai dengan minat dan kompetensi mereka. Di sisi lain, dosen pembimbing juga menghadapi kesulitan dalam memberikan saran dan bimbingan yang optimal karena tingginya beban kerja. Pengelolaan data skripsi yang kurang efisien di banyak institusi pendidikan juga menghambat aksesibilitas dan utilisasi data. Aplikasi Klasifikasi Judul Skripsi dikembangkan menggunakan metode Rational Unified Process (RUP) untuk memberikan pendekatan terstruktur dan iteratif yang cocok untuk proyek perangkat lunak kompleks. Aplikasi ini dirancang untuk membantu mahasiswa menemukan judul skripsi yang tepat berdasarkan analisis minat, kompetensi, dan data judul skripsi sebelumnya, mendukung dosen dalam memberikan saran yang lebih efisien, serta mempermudah pengelolaan data skripsi secara terstruktur. Hasil penelitian menunjukkan bahwa aplikasi ini efektif dalam membantu mahasiswa menemukan judul skripsi yang sesuai, mengurangi waktu dan usaha dalam pencarian judul. Aplikasi ini juga mendukung dosen pembimbing dengan menghemat waktu dan tenaga dalam memberikan saran, memungkinkan fokus pada aspek pembimbingan lainnya. Selain itu, pengelolaan data skripsi menjadi lebih terstruktur, memudahkan akses dan pencarian data di masa depan, sehingga meningkatkan efisiensi dan efektivitas pengelolaan data di …",jurnal
PENERAPAN PEMASARAN ONLINE TANAMAN HIDROPONIK MELALUI MARKETPLACE FACEBOOK,2024,https://jurnal.um-tapsel.ac.id/index.php/martabe/article/view/17785,"UMKM Rumah Bali Hidroponik Kendari telah beroperasi sejak tahun 2019, tetapi masih menggunakan metode promosi dan pemasaran tradisional yang membatasi jangkauan penjualannya. Dengan semakin populernya metode menanam tanaman secara hidroponik, terdapat kebutuhan untuk memperluas pasar melalui strategi pemasaran digital. Program Pengabdian Kepada Masyarakat (PKM) ini bertujuan untuk meningkatkan pengetahuan dan keterampilan dalam penerapan pemasaran online melalui Marketplace Facebook bagi UMKM Rumah Bali Hidroponik Kendari. Kegiatan ini dilaksanakan pada 1 Agustus 2024 dan diikuti oleh 20 peserta. Metode pelatihan yang digunakan adalah pendekatan demonstrasi. Hasil evaluasi menunjukkan bahwa sebelum pelatihan, tingkat pengetahuan dan keterampilan peserta mengenai pemasaran online hanya sebesar 65%. Namun, setelah pelatihan, terjadi …",jurnal
Practical Bookkeeping Training for Hydroponic Business Owners at Rumah Bali Hydroponic SMEs,2024,https://abditekper.uho.ac.id/index.php/jat/article/view/13,"Seiring dengan meningkatnya minat terhadap usaha hidroponik, banyak pelaku UMKM di sektor ini, termasuk UMKM Rumah Bali Hidroponik, yang menghadapi kesulitan dalam pengelolaan keuangan yang efisien dan transparan. Salah satu tantangan utama adalah keterbatasan pengetahuan tentang pembukuan yang sederhana namun efektif untuk memantau arus kas dan meningkatkan daya saing usaha. Melalui Program Kemitraan Masyarakat (PKM) ini, kami menyelenggarakan Pelatihan Pembukuan Praktis untuk Pelaku Usaha Hidroponik di UMKM Rumah Bali, yang bertujuan untuk memberikan pelatihan langsung mengenai teknik pencatatan keuangan yang mudah dan aplikatif. Pelatihan ini mencakup topik-topik penting seperti pencatatan pendapatan dan pengeluaran, manajemen kas, serta pembuatan laporan keuangan sederhana. Dengan pendekatan yang praktis dan mudah dipahami, pelaku …",jurnal
Rancang Bangun Portable 2.4 GHz Wi-Fi Repeater pada Mikrokontroler Wemos D1 Mini Pro,2023,https://elektroda.uho.ac.id/index.php/journal/article/view/132,"Portable Wi-Fi Repeater pada frekuensi 2.4 GHz berbasis mikrokontroler merupakan alat untuk menguatkan sinyal Wi-Fi utama menjadi sinyal yang baru dengan kuat sinyal yang baik. Alat ini mempunyai performansi yang baik pada 10 meter terhadap Access Point dan jumlah maksimal client yang dapat ditampung adalah 4 dengan kuat sinyal-62 dBm. Alat ini dapat berguna juga untuk lokasi-lokasi yang tidak terjangkau sinyal Wi-Fi utama sehingga dapat diletakan pada tempat yang terjangkau Wi-Fi utama dengan kuat sinyal-58 dBm sampai-75 dBm atau pada standar baik. Dalam hal ini peneliti berhasil mengubah alat mikrokontroler yaitu Wemos D1 Mini Pro menjadi Wi-Fi Repeater dan dapat memancarkan ulang sinyal wireless. Perbedaan dengan Wi-Fi Repeater yang ada di pasaran hanya berupa bandwith serta jarak, dimana jarak maksimum dari alat ini mencapai 30 meter tanpa hambatan dan bisa mencapai jarak 55 meter dengan menggunakan tambahan antena eksternal.",jurnal
SISTEM PENDUKUNG KEPUTUSAN DALAM PENERIMAAN POLRI MENGGUNAKAN METODE SIMPLE ADDITIVE WEIGHTING (SAW),2023,https://animator.uho.ac.id/index.php/journal/article/view/11,"Profesionalisme bagi polisi sangat penting untuk ditingkatkan dan dimantapkan dalam rangka mewujudkan harapan masyarakat terhadap sosok-sosok polisi yang ideal. Hal ini dimaksudkan untuk memenuhi harapan masyarakat yang membutuhkan polisi dengan sikap ramah dan lemah lembut dalam pelayanan serta tegas dalam penegakan hukum dapat tercapai. Mendukung hal tersebut, Polri telah memperbaiki proses rekrutmen anggota Polri agar semakin berkualitas dengan melakukan perubahan substansi dan kultur yang diwujudkan dalam akselerasi transformasi di tubuh Polri.",jurnal
Rancang Bangun Sistem Informasi Portal Berita Keuangan Provinsi Sulawesi Tenggara Berbasis Website,2023,https://scholar.google.com/scholar?cluster=5350633441758462647&hl=en&oi=scholarr,"Sistem informasi sudah cukup mendorong pengembangan di semua bidang, termasuk dalam bidang layanan keuangan, di mana hampir semuanya sekarang sudah memiliki fasilitas internet. OJK sendiri telah mengembangkan berbagai inovasi berbasis teknologi untuk mendorong pengembangan digitalisasi dan literasi keuangan. Salah satunya adalah desain sistem informasi portal berita untuk Otoritas Jasa Keuangan Sulawesi Tenggara. Sistem informasi portal berita ini bertujuan untuk meningkatkan literasi keuangan masyarakat di kabupaten/kota di Sulawesi Tenggara. Untuk mendapatkan hasil yang diharapkan dari penelitian ini, sistem ini dibuat menggunakan metode waterfall. Metode waterfall adalah metode pengembangan konsep yang menekankan pada langkah-langkah sistematis atau berurutan mulai dari tahap identifikasi hingga tahap penanganan. Pada tahap pengujian, metode yang digunakan …",jurnal
